RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
Jewelcrafting Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
Trinket_BandT2,FC_Trinket_BandT2,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,5,0,Jewelcrafting,0,outfitting2,,,,1,Trinket_BandT2,,,,,,,,,,IngotPreciousT1,Item,,,,,,,,,,,,,5,,,,,,,Craft_JewelcraftingCompT2,true,,,,,,,,,
Trinket_BandT3,FC_Trinket_BandT3,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,15,0,Jewelcrafting,50,outfitting2,,,,1,Trinket_BandT3,,,,,,,,,,IngotPreciousT2,Item,,,,,,,,,,,,,6,,,,,,,Craft_JewelcraftingCompT3,true,,,,,,,,,
Trinket_BandT4,FC_Trinket_BandT4,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,37,0,Jewelcrafting,100,outfitting2,,,,1,Trinket_BandT4,,,,,,,,,,IngotPreciousT3,Item,,,,,,,,,,,,,7,,,,,,,Craft_JewelcraftingCompT4,true,,,,,,,,,
Trinket_BandT5,FC_Trinket_BandT5,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,90,0,Jewelcrafting,150,outfitting2,,,,1,Trinket_BandT5,,,,,,,,,,IngotT5,Item,,,,,,,,,,,,,8,,,,,,,Craft_JewelcraftingCompT5,true,,,,,,,,,
Trinket_BandT51,FC_Trinket_BandT51,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,218,0,Jewelcrafting,200,outfitting2,,,,1,Trinket_BandT51,,,,,,,,,,IngotT51,Item,,,,,,,,,,,,,8,,,,,,,Craft_JewelcraftingCompT5,true,,,,,,,,,
Trinket_HookT2,FC_Trinket_HookT2,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,5,0,Jewelcrafting,0,outfitting2,,,,1,Trinket_HookT2,,,,,,,,,,IngotPreciousT1,Item,,,,,,,,,,,,,5,,,,,,,Craft_JewelcraftingCompT2,true,,,,,,,,,
Trinket_HookT3,FC_Trinket_HookT3,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,15,0,Jewelcrafting,50,outfitting2,,,,1,Trinket_HookT3,,,,,,,,,,IngotPreciousT2,Item,,,,,,,,,,,,,6,,,,,,,Craft_JewelcraftingCompT3,true,,,,,,,,,
Trinket_HookT4,FC_Trinket_HookT4,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,37,0,Jewelcrafting,100,outfitting2,,,,1,Trinket_HookT4,,,,,,,,,,IngotPreciousT3,Item,,,,,,,,,,,,,7,,,,,,,Craft_JewelcraftingCompT4,true,,,,,,,,,
Trinket_HookT5,FC_Trinket_HookT5,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,90,0,Jewelcrafting,150,outfitting2,,,,1,Trinket_HookT5,,,,,,,,,,IngotT5,Item,,,,,,,,,,,,,8,,,,,,,Craft_JewelcraftingCompT5,true,,,,,,,,,
Trinket_HookT51,FC_Trinket_HookT51,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,218,0,Jewelcrafting,200,outfitting2,,,,1,Trinket_HookT51,,,,,,,,,,IngotT51,Item,,,,,,,,,,,,,8,,,,,,,Craft_JewelcraftingCompT5,true,,,,,,,,,
Trinket_ChainT2,FC_Trinket_ChainT2,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,5,0,Jewelcrafting,0,outfitting2,,,,1,Trinket_ChainT2,,,,,,,,,,IngotPreciousT1,Item,,,,,,,,,,,,,5,,,,,,,Craft_JewelcraftingCompT2,true,,,,,,,,,
Trinket_ChainT3,FC_Trinket_ChainT3,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,15,0,Jewelcrafting,50,outfitting2,,,,1,Trinket_ChainT3,,,,,,,,,,IngotPreciousT2,Item,,,,,,,,,,,,,6,,,,,,,Craft_JewelcraftingCompT3,true,,,,,,,,,
Trinket_ChainT4,FC_Trinket_ChainT4,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,37,0,Jewelcrafting,100,outfitting2,,,,1,Trinket_ChainT4,,,,,,,,,,IngotPreciousT3,Item,,,,,,,,,,,,,7,,,,,,,Craft_JewelcraftingCompT4,true,,,,,,,,,
Trinket_ChainT5,FC_Trinket_ChainT5,,Components,TrinketComponents,,,,true,true,true,true,false,,,false,90,0,Jewelcrafting,150,outfitting2,,,,1,Trinket_ChainT5,,,,,,,,,,IngotT5,Item,,,,,,,,,,,,,8,,,,,,,Craft_JewelcraftingCompT5,true,,,,,,,,,
