ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker
MarauderSeal_Barbarian,@MarauderSeal_Barbarian_MasterName,Resource,@ui_itemtypedescription_resource,@MarauderSeal_Barbarian_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/MarauderSeal_Barbarian.png,lyshineui/images/icons/items_hires/MarauderSeal_Barbarian.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
MarauderSeal_Brigand,@MarauderSeal_Brigand_MasterName,Resource,@ui_itemtypedescription_resource,@MarauderSeal_Brigand_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/MarauderSeal_Brigand.png,lyshineui/images/icons/items_hires/MarauderSeal_Brigand.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
MarauderSeal_Occultist,@MarauderSeal_Occultist_MasterName,Resource,@ui_itemtypedescription_resource,@MarauderSeal_Occultist_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/MarauderSeal_Occultist.png,lyshineui/images/icons/items_hires/MarauderSeal_Occultist.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
MarauderSeal_Cleric,@MarauderSeal_Cleric_MasterName,Resource,@ui_itemtypedescription_resource,@MarauderSeal_Cleric_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/MarauderSeal_Cleric.png,lyshineui/images/icons/items_hires/MarauderSeal_Cleric.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
CovenantSeal_Barbarian,@CovenantSeal_Barbarian_MasterName,Resource,@ui_itemtypedescription_resource,@CovenantSeal_Barbarian_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/CovenantSeal_Barbarian.png,lyshineui/images/icons/items_hires/CovenantSeal_Barbarian.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
CovenantSeal_Brigand,@CovenantSeal_Brigand_MasterName,Resource,@ui_itemtypedescription_resource,@CovenantSeal_Brigand_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/CovenantSeal_Brigand.png,lyshineui/images/icons/items_hires/CovenantSeal_Brigand.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
CovenantSeal_Occultist,@CovenantSeal_Occultist_MasterName,Resource,@ui_itemtypedescription_resource,@CovenantSeal_Occultist_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/CovenantSeal_Occultist.png,lyshineui/images/icons/items_hires/CovenantSeal_Occultist.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
CovenantSeal_Cleric,@CovenantSeal_Cleric_MasterName,Resource,@ui_itemtypedescription_resource,@CovenantSeal_Cleric_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/CovenantSeal_Cleric.png,lyshineui/images/icons/items_hires/CovenantSeal_Cleric.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
SyndicateSeal_Barbarian,@SyndicateSeal_Barbarian_MasterName,Resource,@ui_itemtypedescription_resource,@SyndicateSeal_Barbarian_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/SyndicateSeal_Barbarian.png,lyshineui/images/icons/items_hires/SyndicateSeal_Barbarian.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
SyndicateSeal_Brigand,@SyndicateSeal_Brigand_MasterName,Resource,@ui_itemtypedescription_resource,@SyndicateSeal_Brigand_Description,Resource,Resources,RawResources,CraftingComponents,,,,,,,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/SyndicateSeal_Brigand.png,lyshineui/images/icons/items_hires/SyndicateSeal_Brigand.png,10000,0,,,,,,,,false,,false,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,
