ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Skin_Flute_Summer,@Skin_Flute_Summer_MasterName,Weapon,,@Skin_Flute_Summer_Description,EquippableTool+InstrumentFlute,,,,,,,,,,2hInstrumentFluteT5,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Instruments,,,AzothFluteMidsummerFestivalT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_Drum_Summer,@Skin_Drum_Summer_MasterName,Weapon,,@Skin_Drum_Summer_Description,EquippableTool+InstrumentDrums,,,,,,,,,,2hInstrumentDrumT5,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Instruments,,,DrumsMidsummerFestivalT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_Guitar_Summer,@Skin_Guitar_Summer_MasterName,Weapon,,@Skin_Guitar_Summer_Description,EquippableTool+InstrumentGuitar,,,,,,,,,,2hInstrumentGuitarT5,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Instruments,,,GuitarMidsummerFestivalT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_UprightBass_Summer,@Skin_UprightBass_Summer_MasterName,Weapon,,@Skin_UprightBass_Summer_Description,EquippableTool+InstrumentUprightBass,,,,,,,,,,2hInstrumentUprightBassT5,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Instruments,,,URBassMidsummerFestivalT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_Mandolin_Summer,@Skin_Mandolin_Summer_MasterName,Weapon,,@Skin_Mandolin_Summer_Description,EquippableTool+InstrumentMandolin,,,,,,,,,,2hInstrumentMandolinT5,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Instruments,,,MandolinMidsummerFestivalT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_Chest_Summer,@Skin_Chest_Summer_MasterName,Armor,,@Skin_Chest_Summer_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_MidsummerReward_chest,f_MidsummerReward_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_Head_Summer,@Skin_Head_Summer_MasterName,Armor,,@Skin_Head_Summer_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_MidsummerReward_head,f_MidsummerReward_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_SummerMedleyfaire_Fishingpole1,@Skin_SummerMedleyfaire_Fishingpole1_MasterName,Weapon,,@Skin_SummerMedleyfaire_Fishingpole1_Description,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Tools,,,2hFishingPoleMidsummerFestivalCT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_SummerMedleyfaire_Fishingpole2,@Skin_SummerMedleyfaire_Fishingpole2_MasterName,Weapon,,@Skin_SummerMedleyfaire_Fishingpole2_Description,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Tools,,,2hFishingPoleMidsummerFestivalBT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
Skin_SummerMedleyfaire_Fishingpole3,@Skin_SummerMedleyfaire_Fishingpole3_MasterName,Weapon,,@Skin_SummerMedleyfaire_Fishingpole3_Description,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,,,,,,UI_Tools,,,2hFishingPoleMidsummerFestivalDT5,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SummerMedleyfaire_2022
