TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,POITag,ItemName,UIScreenTag,KillEnemyType,InteractTag
Quest_18018_Task_0,Quest_18018_Task_8_0,Quest_18018_Task_8,Quest_18018_Task_19,Quest_18018_Task_1,Quest_18018_Task_2,Quest_18018_Task_10,Quest_18018_Task_11,Quest_18018_Task_12,Quest_18018_Task_3,Quest_18018_Task_4,Quest_18018_Task_5,Quest_18018_Task_18,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18018_Task_1,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_1_Description,TV_17_MSQ_TularestCinematic,4685.226074 6829.934082 148.104996,Dunwood_Settlement_01,,,,
Quest_18018_Task_2,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_2_Description,,,,NPC_18031,NPC_18031_State_1_Topic_0,,
Quest_18018_Task_2_0,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_2_0_Description,,,,NPC_18056,NPC_18056_State_1_Topic_0,,
Quest_18018_Task_2_0_0,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_2_0_0_Description,,,,NPC_18057,NPC_18057_State_1_Topic_0,,
Quest_18018_Task_3,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_3_Description,,4269.515137 6039.166992 79.942001,,,,17_MSQ_BerlaurCage3_Interact,IO_17_MSQ_BerlaurCage3
Quest_18018_Task_4,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_4_Description,,,,NPC_18007,NPC_18007_State_1_Topic_0,,
Quest_18018_Task_5,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_5_Description,TV_17_MSQ_AsenaSoulTrial2,4232.064941 6034.553223 73.254997,,,,,
Quest_18018_Task_6,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_6_Description,TV_17_MSQ_ClimbingBridge,4346.299805 5998.220215 69.182999,,,,,
Quest_18018_Task_7,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_7_Description,TV_17_MSQ_FollowingTrail1,4716.392090 6642.979980 126.878998,,,,,
Quest_18018_Task_8,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,spiritshrine_20342_discovered,,,
