SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Elemental_Fire_AoE,Elemental_Fire_AoE,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,1000,,5,,3,,,,30,5,,,,1,,,,,,,,,,,Enemy,Elemental,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_Fire_Projectile,,,,,,,,,,,,,,,,true,FireStaff_Primary,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC1,,,,,Items/Weapons/spell_proj_fire,,,,
Elemental_Fire_Projectile_Charged,,,,,,,,,,,,,,,,true,FireStaff_Heavy,false,-1,,,,,,,,5,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Charged,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged,,,,
Elemental_Fire_Projectile_Charged_Range_Upgrade,,,,,,,,,,,,,,,,true,FireStaff_Heavy,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Charged_Range,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged_Range,,,,
Elemental_Fire_Projectile_Charged_Speed_Upgrade,,,,,,,,,,,,,,,,true,FireStaff_Heavy,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Charged_Speed,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC3,,,,,items/Weapons/spell_proj_Fire_Charged_Speed,,,,
Elemental_Fire_AoE_Channel,Elemental_Fire_AoE_Staff,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE_Staff,false,6000,,5,,3,,,,30,5,,,,6,,,,,,,,,,,Enemy,Elemental,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_Fire_Combustion_AOE,,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,1000,,2,,2,,,,,,,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_Combustion_AOE,,,,,,,,,
Elemental_Fire_Projectile_Special,,,,,,,,,,,,,,,,true,Elemental_Fire_Projectile_Special,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Elemental,Projectile,,,,Fire,,true,,,FireBall,Basic,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_proj_fire,,,,
Elemental_Fire_Meteor,,,,,,,,,,,,,,,,true,Elemental_Fire_AoE_Staff,false,6000,,20,,8,,,,30,20,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,,true,,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_meteor_spawn,Items/Weapons/spell_Meteor_Explosion,,,
Elemental_Fire_Grenade,,,,,,,,,,,,,,,,true,Elemental_Fire_Grenade,false,-1,,,,1,,,,10,,,,,0,,,,,,,,,,,Enemy,Elemental,Projectile,,,,Fire,,true,,,FireBall,FireGrenade,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_FireGrenade_Projectile,,,,
