SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
TestStatusInteractSpell,LifeStaff_Mana_Regen,,,,true,true,true,,,,,true,,,,,true,true,,false,-1,,5,,5.8,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,Aoe,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Life_Staff_HolyShield_Upgrade,,,,
Spell_Taunt_AOE,,,,,,,,,,,,,,,,,true,true,,false,2000,,5,,8,,,,0,0,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,DamageTable,Common_Taunt_DamageTableRow,,,,,Perks/spell_taunt_aoe,,,,
DungeonStatusInteractArcaneProtection,LifeStaff_Mana_Regen,,,,true,,,,,,,true,,,,,true,true,,false,-1,,5,,5.8,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,Direct,,,NoShape,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Everfall/dungeon_everfall_00_status_arcane_protection,,,,
DungeonStatusInteractRelicBubble,,,,,true,,,,,,,true,,,,,true,true,,false,-1,,5,,5.8,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,Aoe,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/ShatterMountain/Dungeon_ShatterMtn00_Relic_Bubble_Protection,,,,
DungeonStatusInteractRelicBubbleDrop,,,,,,,,,,,,,,,,,true,true,,false,-1,,1,,1,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,Aoe,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/ShatterMountain/Dungeon_ShatterMtn00_Relic_Spawner,,,,
DungeonStatusInteractRelicBubbleRemove,,,,,true,,,,,,,true,,,,,true,true,,false,-1,,1,,1,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,Aoe,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/ShatterMountain/Dungeon_ShatterMtn00_Relic_Remove,,,,
DungeonCorruptedTether,,,,,true,,,,,,,true,,,,,true,true,,false,2000,,,,40,,,,,,,,,0,90,1,true,,,,,,,,All,Elemental,Chain,,,Sphere,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,cFX_npc_LegionSignifer.HOL_Tether,,Dungeon/ShatterMountain/Dungeon_ShatterMtn00_SpellCorruptedTether,,,,
DungeonCorruptedTetherTarget,,,,,true,,true,,,,,true,,,,,true,true,,false,-1,,,,1,,,,,,,,,0,,,,,,,,,,,All,Elemental,Aoe,,,Sphere,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/ShatterMountain/Dungeon_ShatterMtn00_SpellCorruptedTetherTarget,,,,
Dungeon_BotKillRadius,Dungeon_FallToDeath,,,,true,,,,,,,true,,,,,true,true,,true,-1,,,,20,,,,,,,,,,,,,,,,,,,,All,,Aoe,,,Sphere,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Test/Automation/dungeon_spell_bot_kill_radius,,,,
Dungeon_BrimstoneSands00_SunTurretBeam,,,,,true,,,,,,,true,true,true,,,false,false,,false,-1,,,,,,,,0,1,,,,0,,,,1,1,,,,,,All,Ability,BeamAttack,,,NoShape,,,true,,true,,,,,,0,-3,6,,,,,,,,,,,,AnubianLotusScarabDamageTable,LotusScarab_AncientSunBeam,,,,,Dungeon/BrimstoneSands/Dungeon_BrimstoneSands00_Sun_Turret_Beam,,,,
Dungeon_BrimstoneSands00_SunTurretBeam02,,,,,true,,,,,,,true,true,true,,,false,false,,false,-1,,,,,,,,0,1,,,,0,,,,1,1,,,,,,All,Ability,BeamAttack,,,NoShape,,,true,,true,,,,,,0,-3,6,,,,,,,,,,,,AnubianLotusScarabDamageTable,LotusScarab_AncientSunBeam,,,,,Dungeon/BrimstoneSands/Dungeon_BrimstoneSands00_Sun_Turret_Beam02,,,,
Dungeon_BrimstoneSands00_SunTurretBeam03,,,,,true,,,,,,,true,true,true,,,false,false,,false,-1,,,,,,,,0,1,,,,0,,,,1,1,,,,,,All,Ability,BeamAttack,,,NoShape,,,true,,true,,,,,,0,-3,6,,,,,,,,,,,,AnubianLotusScarabDamageTable,LotusScarab_AncientSunBeam,,,,,Dungeon/BrimstoneSands/Dungeon_BrimstoneSands00_Sun_Turret_Beam03,,,,
Dungeon_BrimstoneSands00_SunTurretAlert,,,,,true,,,,,,,true,true,true,,,false,false,,true,-1,,,,,,,,0,1,,,,0,,,,1,1,,,,,,All,Ability,Aoe,,,NoShape,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/BrimstoneSands/Dungeon_BrimstoneSands00_SunTurretAlert,,,,
Dungeon_CutlassKeys00_TornadoTrap,,,,,true,,,,,,,true,,,,,true,true,,false,-1,,,,1,,,,,,,,,0,,,,,,,,,,,All,Elemental,Aoe,,,Sphere,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/cutlassKeys/dungeon_cutlasskeys00_tornadotrapai_spell,,,,
Mutator Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSE 1 MINOR (UNSTABLE) MUTATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mut_Fir_Curse1_Minor,Mut_Curse1_Fir_Minor_Chain_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Fire,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Lig_Curse1_Minor,Mut_Curse1_Lig_Minor_Chain_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Voi_Curse1_Minor,Mut_Curse1_Voi_Minor_Chain_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Corruption,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Nat_Curse1_Minor,Mut_Curse1_Nat_Minor_Chain_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Nature,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Ice_Curse1_Minor,Mut_Curse1_Ice_Minor_Chain_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Ice,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
CURSE 1 MAJOR (OVERCHARGED) MUTATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mut_Fir_Curse1_Major,Mut_Curse1_Fir_Major_Damage_DoT,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Fire,,true,true,,true,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Fir_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Fir_Curse1_Major,,,,
Mut_Lig_Curse1_Major,Mut_Curse1_Lig_Major_Damage_DoT,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Lightning,,true,true,,true,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Lig_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Lig_Curse1_Major,,,,
Mut_Voi_Curse1_Major,Mut_Curse1_Voi_Major_Damage_DoT,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Corruption,,true,true,,true,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Voi_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Voi_Curse1_Major,,,,
Mut_Nat_Curse1_Major,Mut_Curse1_Nat_Major_Damage_DoT,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Nature,,true,true,,true,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Nat_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Nat_Curse1_Major,,,,
Mut_Ice_Curse1_Major,Mut_Curse1_Ice_Major_Damage_DoT,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Ice,,true,true,,true,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Ice_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Ice_Curse1_Major,,,,
CURSE 2 MINOR (FRENZIED) MUTATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
