StatusID,DisplayName,Description,EffectCategories,PlaceholderIcon,ShowInUITray,ShowInTokenTray,ShowTextInDamageNumbers,FxScriptOn,FxScriptOff,ShouldRefreshFxScript,IgnoreFxScriptWhenPotencyIsZero,WeaponEffectType,ReapplyAfterPersistenceReload,PersistEffectInCrossWorldInstances,Notification,DisableTelemetry,IsClientPredicted,UseLightweightReplication,PauseInGameModesList,PauseOnDisable,PotencyPerLevel,HideHudDurationNumbers,BaseDuration,TickRate,DelayInitialTick,TickCondition,OnTickStatusEffect,KeepOnTickEffectOnEnd,StopOnHitCount,HitCondition,RequireReaction,OnStackStatusEffect,AddOnStackSize,AddOnStackSizeComparison,HealThreatMultiplier,ScaleAmountOverTime,ScaleAmountOverTimeMin,ScaleAmountOverTimeMax,IsTrueDamage,DamageSkipsDeathsDoor,Health,HealthMin,HealthMinPercent,HealthModifierPercent,HealthModifierDamageBased,UseHealScalingValue,HealScalingValueMultiplier,ShowUiDamageNumbersOnHeal,StaminaDamageModifier,ManaModifierDamageBased,DamageType,CritChanceModifier,CritDamageModifier,OnEndStatusEffect,DontApplyOnEndEffectOnRemove,CastSpell,TargetOwnsSpell,UseSourceWeaponForSpell,FromAlchemy,FromSpell,NoHealthRegen,HealMod,MaxHealthMod,HealthRate,CoreTempMod,TempMod,Stamina,StaminaRate,Mana,ManaRate,Food,FoodBurn,Drink,DrinkBurn,Encumbrance,ItemClassWeightMods,XPIncreases,XPIncreasesTooltip,AzothMod,FactionReputationMod,FactionTokensMod,TerritoryStandingMod,EXPLogging,EXPMining,EXPHarvesting,EXPSkinning,EXPSmelting,EXPWoodworking,EXPLeatherworking,EXPWeaving,EXPStonecutting,EXPCategoricalProgression,GameEventTypeTradeskillEXPMod,GrantSanctuary,NoSprint,NoRun,NoDodge,NoNav,Silenced,Stunned,RemoveOnDeath,RemoveOnDeathsDoor,RemoveOnRespawn,RemoveOnGameModeExit,IgnoreDiminishingReturns,OnlyChangeOwnedStatusEffects,Afflictions,OnHitAffixes,EquipAbility,UseSourceWeaponForAbilityEffect,IsNegative,RespecTradeskills,RespecAttributes,EffectDurationMods,EffectPotencyMods,RemoveStatusEffects,RemoveStatusEffectCategories,GlobalRollMod,FishingLineStrength,FishSizeRollModifier,MODConstitution,MODFocus,MODStrength,MODDexterity,MODIntelligence,MGSArcana,MGSWeaponsmithing,MGSJewelcrafting,MGSEngineering,MGSArmoring,MaxGSArcana,MaxGSWeaponsmithing,MaxGSJewelcrafting,MaxGSEngineering,MaxGSArmoring,ROLCooking,ROLWeaving,ROLStonecutting,ROLSmelting,ROLLeatherworking,ROLWoodworking,ROLLogging,ROLMining,ROLSkinning,ROLHarvesting,ROLFishing,MULTLogging,MULTMining,MULTSkinning,MULTHarvesting,MULTFishing,EFFLogging,EFFMining,EFFSkinning,EFFHarvesting,INSLogging,INSMining,INSSkinning,INSHarvesting,PhysicalArmor,ElementalArmor,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSFire,ABSIce,ABSNature,ABSLightning,ABSCorruption,ABSAcid,ABSVitalsCategory,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNFire,WKNIce,WKNNature,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,DMGVitalsCategory,DMGVitalsCategory_Tooltip,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,StackDuration,DurationMax,InheritDuration,InheritTotalDuration,RefreshDuration,StackMax,InitialStackSize,RemoveUnappliedStacks,PotencyMax,DontReplaceStack,MoveSpeedMod,SprintSpeedMod,FastTravelEncumbranceMod,GameEventId,HealRewardGameEventId,HealRewardThreshold,WeaponMasteryCategoryId,UIPriority,UiNameplatePriority,ShowInNameplates,ShowTextInNameplates,OverrideOtherNameplateText,HidesOtherStatusEffectIcons,DynamicModelScaleFactor,DynamicModelScaleRampTimeSecs,SpawnSlice,DisableSupportContributionRewards,BlockMultipleEffectsFromSameSource,AllowSelfOnlyAsSourceForAbilities,IgnoreInvulnerable,NotCombatAction,DisableAllNonAttributePerks,DisableAllNonAttributePerksExceptionLabels,PreventPassiveAbilitiesOnEquip,GrantedSkinId,AllowAddIfDead,SourceRuneChargeOnApply,SourceRuneChargeOnTick,SourceRuneChargeOnHealthChangeOnly,AntirequisiteEffectCategories,MountedOnly,MeshChangeCDF,ApplicationCooldown
Sanctuary,@ui_sanctuary,,,,,,false,,,,,,,,,false,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.005,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
Lawless,@ui_lawless,,,lyshineui/images/status/LawlessZone.png,,,false,,,,,,,,,,,true,,,,,-1,0,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL0,@status_hpregen025_DisplayName,,,lyshineui/images/status/SE_HealT3.png,1,,true,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL1,@status_hpregen050_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL2,@status_hpregen075_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL3,@status_hpregen100_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL4,@status_hpregen125_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL5,@status_hpregen150_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,6,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL6,@status_hpregen175_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampRegenL7,@status_hpregen200_DisplayName,,,,,,false,,,,,,,,,,,true,,,,,-1,1,,,,,0,,,,,,,,,,,,0,,,0.03,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
