VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,DetectionVolumeSphereRadius,IsStateControlledBySlayerScript
0511_PowderkegA,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_PowderkegA_Ghost_00.dynamicslice,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_Powderkeg_00.dynamicslice,,,0511_PowderkegA,4,2.5,6,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_Loot.Loot_Quest_Medium_Depleted,,,,,slices/WorldEvents/Reekwater/Interact/PowderkegA/Enc_WorldEvent_05WC06_PirateWave_00.dynamicslice,IO_0511_PowderkegA,true,,,2,
0901_Barley,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_BarleyPicked_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,,0901_Barley,4,2,6,gath_bush_leaves_small,Play_Gather_Bush_Sml,,cFX_Loot.Loot_Quest_Small,1,Gatherable.Edible_Flora.Demolish.Grain_A,,,,,,IO_0901_Barley,true,,,2,
0905_BloodTracking_A,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_00.dynamicslice,,,0905_BloodTracking_A,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_A,true,,,2,
0905_BloodTracking_B,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_01.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_01.dynamicslice,,,0905_BloodTracking_B,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_B,true,,,2,
0905_BloodTracking_C,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_02.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_02.dynamicslice,,,0905_BloodTracking_C,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_C,true,,,2,
0905_BloodTracking_D,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_03.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_03.dynamicslice,,,0905_BloodTracking_D,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_D,true,,,2,
1225_HighpassCamp,,,,,1225_HighpassCamp,0.01,0.5,0.5,5,,,,,,,,,,,IO_1225_HighpassCamp,true,,,3,
1524_DoubloonA,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonA,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonA,true,,,2,
1524_DoubloonB,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonB,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonB,true,,,2,
1524_DoubloonC,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonC,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonC,true,,,2,
1524_DoubloonD,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonD,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonD,true,,,2,
1524_DoubloonE,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonE,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonE,true,,,2,
1524_DoubloonF,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonF,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonF,true,,,2,
1524_DoubloonG,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonG,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonG,true,,,2,
1524_DoubloonH,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonH,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonH,true,,,2,
1524_DoubloonI,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonI,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,IO_1524_DoubloonI,true,,,2,
MSQ_0017_Weapons,,,,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_MSQ_LandCriesOut_Weapons_Visual_All.dynamicslice,MSQ_0017_Weapons,4,15,15,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0017_Weapons,true,,,8,
MSQ_0017_Corruption,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_Healthy.dynamicslice,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_Healthy.dynamicslice,,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_BaseMesh.dynamicslice,MSQ_0017_Corruption,5,15,15,,,,cFX_Loot.Loot_Quest_Medium,2,cFX_Loot.Loot_Quest_Medium_Depleted,2,,,,,IO_MSQ_0017_Corruption,true,,,8,
MSQ_0090_FindYrsa1_Proximity,,,,,MSQ_0090_FindYrsa1_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa1_Proximity,true,,,3.25,
MSQ_0090_FindYrsa2_Proximity,,,,,MSQ_0090_FindYrsa2_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa2_Proximity,true,,,3.25,
MSQ_0090_FindYrsa3_Optional_Proximity,slices\WorldEvents\MainStoryQuest\FindYrsa\WorldEvent_Object_MSQ_FindYrsa2_Optional_VisualHealthy.dynamicslice,,,,MSQ_0090_FindYrsa3_Optional_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa3_Optional_Proximity,true,,,3.25,
