VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,DetectionVolumeSphereRadius,IsStateControlledBySlayerScript
0511_PowderkegA,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_PowderkegA_Ghost_00.dynamicslice,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_Powderkeg_00.dynamicslice,,,0511_PowderkegA,4,2.5,6,,,,cFX_Loot.Loot_Quest_Medium,1,,,cFX_Loot.Loot_Quest_Medium_Depleted,,,,,slices/WorldEvents/Reekwater/Interact/PowderkegA/Enc_WorldEvent_05WC06_PirateWave_00.dynamicslice,IO_0511_PowderkegA,true,,,2,
0901_Barley,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_BarleyPicked_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,,0901_Barley,4,2,6,gath_bush_leaves_small,Play_Gather_Bush_Sml,,cFX_Loot.Loot_Quest_Small,1,Gatherable.Edible_Flora.Demolish.Grain_A,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0901_Barley,true,,,2,
0905_BloodTracking_A,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_00.dynamicslice,,,0905_BloodTracking_A,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_A,true,,,2,
0905_BloodTracking_B,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_01.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_01.dynamicslice,,,0905_BloodTracking_B,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_B,true,,,2,
0905_BloodTracking_C,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_02.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_02.dynamicslice,,,0905_BloodTracking_C,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_C,true,,,2,
0905_BloodTracking_D,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_03.dynamicslice,slices\WorldEvents\FirstLight\Interact\BloodTracking\WorldEvent_Object_0905_BloodTracking_03.dynamicslice,,,0905_BloodTracking_D,1,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0905_BloodTracking_D,true,,,2,
1225_HighpassCamp,,,,,1225_HighpassCamp,0.01,0.5,0.5,5,,,,,,,,,,,,,IO_1225_HighpassCamp,true,,,3,
1524_DoubloonA,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonA,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonA,true,,,2,
1524_DoubloonB,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonB,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonB,true,,,2,
1524_DoubloonC,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonC,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonC,true,,,2,
1524_DoubloonD,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonD,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonD,true,,,2,
1524_DoubloonE,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonE,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonE,true,,,2,
1524_DoubloonF,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonF,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonF,true,,,2,
1524_DoubloonG,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonG,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonG,true,,,2,
1524_DoubloonH,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonH,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonH,true,,,2,
1524_DoubloonI,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,slices\WorldEvents\RestlessShores\DoubloonTrail\WorldEvent_Object_1524_Doubloon.dynamicslice,,,1524_DoubloonI,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_1524_DoubloonI,true,,,2,
1625_0100_LegionAttack,,,,,1625_0100_LegionAttack,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0100_LegionAttack,true,,,5,
1625_0103_AbanAudio,,,,,1625_0103_AbanAudio,10,10,0,,,,,,,,,,,,,,IO_1625_0103_AbanAudio,true,,,10,
1625_0103_AEAmbush,,,,,1625_0103_AEAmbush,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0103_AEAmbush,true,,,5,
1624_0401_OrcusPoolA,,,,,1624_0401_OrcusPoolA,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1624_0401_OrcusPoolA,true,,,5,
1624_0401_OrcusPoolB,,,,,1624_0401_OrcusPoolB,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1624_0401_OrcusPoolB,true,,,5,
1624_0401_OrcusPoolC,,,,,1624_0401_OrcusPoolC,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1624_0401_OrcusPoolC,true,,,5,
1624_0401_OrcusPoolD,,,,,1624_0401_OrcusPoolD,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1624_0401_OrcusPoolD,true,,,10,
1625_0701_ImhotepA,,,,,1625_0701_ImhotepA,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0701_ImhotepA,true,,,5,
1625_0701_ImhotepB,,,,,1625_0701_ImhotepB,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0701_ImhotepB,true,,,5,
1625_0701_ImhotepC,,,,,1625_0701_ImhotepC,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0701_ImhotepC,true,,,5,
1625_0701_ImhotepD,,,,,1625_0701_ImhotepD,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0701_ImhotepD,true,,,5,
1625_0701_ImhotepE,,,,,1625_0701_ImhotepE,0.01,0.5,0.5,,,,,,,,,,,,,,IO_1625_0701_ImhotepE,true,,,5,
MSQ_0017_Weapons,,,,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_MSQ_LandCriesOut_Weapons_Visual_All.dynamicslice,MSQ_0017_Weapons,4,15,15,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0017_Weapons,true,,,8,
MSQ_0017_Corruption,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_Healthy.dynamicslice,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_Healthy.dynamicslice,,slices\WorldEvents\MainStoryQuest\EbonrockCavern\WorldEvent_Object_MSQ_LandCriesOut_CorruptedDryad_Visual_BaseMesh.dynamicslice,MSQ_0017_Corruption,5,15,15,,,,cFX_Loot.Loot_Quest_Medium,2,,,cFX_Loot.Loot_Quest_Medium_Depleted,2,,,,,IO_MSQ_0017_Corruption,true,,,8,
MSQ_0036_Thorpe_Proximity,,,,,MSQ_0036_Thorpe_Proximity,15,20,20,,,,,,,,,,,,,,IO_MSQ_0036_Thorpe_Proximity,true,,,15,
MSQ_0090_FindYrsa1_Proximity,,,,,MSQ_0090_FindYrsa1_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa1_Proximity,true,,,3.25,
MSQ_0090_FindYrsa2_Proximity,,,,,MSQ_0090_FindYrsa2_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa2_Proximity,true,,,3.25,
MSQ_0090_FindYrsa3_Optional_Proximity,slices\WorldEvents\MainStoryQuest\FindYrsa\WorldEvent_Object_MSQ_FindYrsa2_Optional_VisualHealthy.dynamicslice,,,,MSQ_0090_FindYrsa3_Optional_Proximity,4,3.25,3.25,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0090_FindYrsa3_Optional_Proximity,true,,,3.25,
CyclicExample_Black_Prisma,slices\Test\CyclicExample_Prisma_Black.dynamicslice,,,,CyclicExample_Black_Prisma,4,3.25,5,,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,,,,,,true
ProximityExample_Black_Prisma,slices\Test\CyclicExample_Prisma_Black.dynamicslice,,,,CyclicExample_Black_Prisma,4,3.25,5,,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,,,,,,
MSQ_01_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_01_Reese_Walkaway_Proximity,true,,,15,
MSQ_02_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_02_Reese_Walkaway_Proximity,true,,,15,
MSQ_03_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_03_Reese_Walkaway_Proximity,true,,,15,
MSQ_Chapter_Banner_1_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_Chapter_Banner_1_Proximity,true,,,15,
99a_MSQ_05_PopClot,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Base.dynamicslice,99a_MSQ_05_PopClot,0.01,0.5,0.5,Corruption_Popclots,Play_Corruption_Popclots,,cFX_Loot.Loot_Quest_Small,-1.25,env_darkness.Core.Core_Shell_burst01,-0.5,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_99a_MSQ_05_PopClot,true,,,0.75,
04A_Side01_01_Proximity_Trail,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail,true,,,0.75,
04A_Side02_03_Proximity_Investigate_01,,,,,04A_Side02_03_Proximity_Investigate_01,5,10,10,,,,cFX_Loot.Loot_Quest_Small,0,,,cFX_Loot.Loot_Quest_Small_Depleted,0,,,,,IO_04A_Side02_03_Proximity_Investigate_01,true,,,5,
04A_Side02_03_Proximity_Investigate_02,,,,,04A_Side02_03_Proximity_Investigate_02,5,10,10,,,,cFX_Loot.Loot_Quest_Small,0,,,cFX_Loot.Loot_Quest_Small_Depleted,0,,,,,IO_04A_Side02_03_Proximity_Investigate_02,true,,,5,
04A_Side04_02_Proximity_InvestigationSpot_01,,,,,04A_Side04_02_Proximity_InvestigationSpot_01,5,10,10,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_01,true,,,5,
04A_Side04_02_Proximity_InvestigationSpot_02,,,,,04A_Side04_02_Proximity_InvestigationSpot_02,5,10,10,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_02,true,,,5,
